,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,location,language,profileImageURL
454,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:59:47,FALSE,NA,982860537259180033,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",snowchims,3665,TRUE,FALSE,NA,NA,jimin~a ♡ *:･ﾟ✧,en,http://pbs.twimg.com/profile_images/980744229298176000/yHVLJLkf_normal.jpg
455,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:56:39,FALSE,NA,982859750483177472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",KookieeBangtan,3665,TRUE,FALSE,NA,NA,PH / soft stan ��,en,http://pbs.twimg.com/profile_images/981926816062435328/5IMQ-9mG_normal.jpg
456,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:55:59,FALSE,NA,982859580974579712,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",emeypark,3665,TRUE,FALSE,NA,NA,Valenzuela City,en,http://pbs.twimg.com/profile_images/982719404545720321/l1juftvK_normal.jpg
457,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:53:07,FALSE,NA,982858861148233728,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",KWANGXX9997,3665,TRUE,FALSE,NA,NA,"อ.เมืองพิษณุโลก, จ.พิษณุโลก",th,http://pbs.twimg.com/profile_images/961976458297065472/4-3OlvZL_normal.jpg
458,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:44:22,FALSE,NA,982856659440517120,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jaymestephanie,3665,TRUE,FALSE,NA,NA,,en,http://pbs.twimg.com/profile_images/959699895467651072/mbLk1uEM_normal.jpg
459,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:41:09,FALSE,NA,982855848719347718,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MYGUCCI_BOI,3665,TRUE,FALSE,NA,NA,Indonesia,en,http://pbs.twimg.com/profile_images/984494536297607169/5s5i3a-4_normal.jpg
460,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:39:30,FALSE,NA,982855432120119299,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jaydope24,3665,TRUE,FALSE,NA,NA,India,en,http://pbs.twimg.com/profile_images/984116698126020608/31CaHMbW_normal.jpg
461,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:38:56,FALSE,NA,982855291707441154,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",taegertata,3665,TRUE,FALSE,NA,NA,+62,en,http://pbs.twimg.com/profile_images/973502068278177793/Q3rDFHec_normal.jpg
462,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:37:28,FALSE,NA,982854921610452992,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vantaelicious,3665,TRUE,FALSE,NA,NA,Philippines,en,http://pbs.twimg.com/profile_images/983283064494108672/TkiBftpw_normal.jpg
463,"RT @kookceptional: [trans]
Q: What fashion items do you own the most?
JM: Blue denim jackets, hoodies and hooded clothes, and long T-shirts…",FALSE,0,NA,2018-04-08 5:37:07,FALSE,NA,982854831684517888,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sanhonie,3665,TRUE,FALSE,NA,NA,"Los Angeles, CA",en,http://pbs.twimg.com/profile_images/983054867160645633/2we0uvzL_normal.jpg
